"activity" "subject" "FreqBodyAccJerkMagmean" "FreqBodyAccJerkMagstd" "FreqBodyAccJerkmeanX" "FreqBodyAccJerkmeanY" "FreqBodyAccJerkmeanZ" "FreqBodyAccJerkstdX" "FreqBodyAccJerkstdY" "FreqBodyAccJerkstdZ" "FreqBodyAccMagmean" "FreqBodyAccMagstd" "FreqBodyAccmeanX" "FreqBodyAccmeanY" "FreqBodyAccmeanZ" "FreqBodyAccstdX" "FreqBodyAccstdY" "FreqBodyAccstdZ" "FreqBodyGyroJerkMagmean" "FreqBodyGyroJerkMagstd" "FreqBodyGyroMagmean" "FreqBodyGyroMagstd" "FreqBodyGyromeanX" "FreqBodyGyromeanY" "FreqBodyGyromeanZ" "FreqBodyGyrostdX" "FreqBodyGyrostdY" "FreqBodyGyrostdZ" "TimeBodyAccJerkMagmean" "TimeBodyAccJerkMagstd" "TimeBodyAccJerkmeanX" "TimeBodyAccJerkmeanY" "TimeBodyAccJerkmeanZ" "TimeBodyAccJerkstdX" "TimeBodyAccJerkstdY" "TimeBodyAccJerkstdZ" "TimeBodyAccMagmean" "TimeBodyAccMagstd" "TimeBodyAccmeanX" "TimeBodyAccmeanY" "TimeBodyAccmeanZ" "TimeBodyAccstdX" "TimeBodyAccstdY" "TimeBodyAccstdZ" "TimeBodyGyroJerkMagmean" "TimeBodyGyroJerkMagstd" "TimeBodyGyroJerkmeanX" "TimeBodyGyroJerkmeanY" "TimeBodyGyroJerkmeanZ" "TimeBodyGyroJerkstdX" "TimeBodyGyroJerkstdY" "TimeBodyGyroJerkstdZ" "TimeBodyGyroMagmean" "TimeBodyGyroMagstd" "TimeBodyGyromeanX" "TimeBodyGyromeanY" "TimeBodyGyromeanZ" "TimeBodyGyrostdX" "TimeBodyGyrostdY" "TimeBodyGyrostdZ" "TimeGravityAccMagmean" "TimeGravityAccMagstd" "TimeGravityAccmeanX" "TimeGravityAccmeanY" "TimeGravityAccmeanZ" "TimeGravityAccstdX" "TimeGravityAccstdY" "TimeGravityAccstdZ"
"Laying" 1 -0.618261109868627 -0.687355136176471 -0.652315824308889 -0.514157542843137 -0.652096463225926 -0.748674972977778 -0.692778138666667 -0.753340221222222 -0.617189268248889 -0.8249638096 -0.619902343688889 -0.588033566245098 -0.655981674548704 -0.758252112666667 -0.743612252058824 -0.783119535268519 -0.624166011214889 -0.814575960324444 -0.709911837487037 -0.741244380407407 -0.564438193120667 -0.619506779280392 -0.695897907022222 -0.810300847555556 -0.704813488568627 -0.734718247833333 -0.578358004688889 -0.745648018075556 -0.609576896086275 -0.692138703061111 -0.685613616384444 -0.662420170117647 -0.732394624168519 -0.640181195124444 -0.594351578764706 -0.731168504176471 -0.697035512607843 -0.745243517690741 -0.6999982114 -0.656898828471961 -0.708932005945555 -0.646562916944444 -0.653236491777778 -0.762143126275926 -0.575198062247451 -0.688503994296296 -0.611753084844444 -0.692905668588235 -0.738534246277778 -0.732795484711111 -0.585907022411765 -0.729028880235294 -0.517636403643137 -0.672608427777778 -0.708232894493333 -0.714189067431373 -0.711485996907407 -0.683910903553333 -0.609562527322222 -0.754088988314815 -0.581801823686275 -0.716238366407407 -0.68541305376 -0.675075097764706 -0.740219605968519 -0.663522896355556
"Laying" 2 -0.679414056111111 -0.790463724866667 -0.6938263944625 -0.69448170428 -0.744736630892157 -0.79981397696875 -0.815233054013333 -0.774438526764706 -0.652421043329167 -0.7992717816875 -0.717300048927083 -0.721290057791111 -0.742812478482353 -0.786047623247917 -0.792585260431111 -0.726184012921569 -0.63509849171875 -0.798550830625 -0.677402627039216 -0.787655513176471 -0.68399957701875 -0.670439800404444 -0.669123244309804 -0.8068264115625 -0.812575603155556 -0.797978293333333 -0.7275766107 -0.752097202755 -0.800339530733333 -0.778953643105882 -0.803491741547917 -0.665624436515556 -0.679305829423529 -0.69822137263125 -0.77048601918 -0.756414624804444 -0.785490089866667 -0.756090812843137 -0.829812117354167 -0.641644580533333 -0.679946771098039 -0.653610917760417 -0.733799996662745 -0.754049499594118 -0.790162549888889 -0.787639428313725 -0.783257935258333 -0.706024020426667 -0.720217730843137 -0.750273879314583 -0.735719147952444 -0.759423054433333 -0.796404498066667 -0.795502868607843 -0.799529736166667 -0.707031608695556 -0.716242701139216 -0.691763706297917 -0.740299006117647 -0.765185347041176 -0.821360387244444 -0.791889931333333 -0.812402239666667 -0.664500929084444 -0.699037252284314 -0.679234727698125
"Laying" 3 -0.775499689438596 -0.71089968945614 -0.704661264821333 -0.760425163159474 -0.739957893651852 -0.750240813885333 -0.717200709133333 -0.671647059092593 -0.734465629813333 -0.740658114596 -0.714986697381333 -0.776679477654386 -0.777227628314815 -0.733202797506667 -0.666098771636842 -0.660552895074074 -0.753995166806667 -0.708270366356 -0.78534975012963 -0.693757566911111 -0.705399463373333 -0.787133909912281 -0.795096834894444 -0.733748601310667 -0.6928774638 -0.674728684114815 -0.751808579528 -0.751338675645333 -0.746884653140351 -0.71721780832037 -0.711758956993333 -0.720508042894737 -0.769065313648148 -0.755597331118667 -0.771572284245614 -0.687307380196491 -0.717114684086842 -0.6643969505 -0.7412734594 -0.7446612138 -0.854429747444444 -0.706873732453333 -0.752875436092593 -0.718423440037037 -0.725347655736842 -0.697255606203704 -0.765320357993333 -0.714080208603509 -0.783165108012963 -0.719887169974667 -0.808175376136842 -0.684214475631579 -0.756706700122807 -0.710608051487037 -0.725310923642667 -0.71763267997193 -0.787814351612407 -0.780593136305333 -0.720375540562963 -0.729016961827778 -0.749410231894737 -0.667548411314815 -0.733929054066667 -0.708992620191228 -0.783172764439639 -0.746075721161333
"Laying" 4 -0.652133336235294 -0.749340150043137 -0.7094017861145 -0.711454916947059 -0.740740929982222 -0.697635345592424 -0.639049760392157 -0.6733201196 -0.704082897862121 -0.725241156318182 -0.711831767528788 -0.697248188078431 -0.697512704466667 -0.730346223454545 -0.685781337098039 -0.714922358146667 -0.66330315019697 -0.745558702084849 -0.6584381932 -0.766102820155556 -0.753372029640909 -0.726007946466667 -0.7005745652 -0.662520281736364 -0.663342691705882 -0.739608618822222 -0.744380546736364 -0.737019658743939 -0.775823186184314 -0.765566515377778 -0.771281161034848 -0.750195548458824 -0.747657270851111 -0.772916830243182 -0.778876144529412 -0.712481312282353 -0.733360438372549 -0.741559230622222 -0.752312585977273 -0.71760145254902 -0.709693373555556 -0.673577151621212 -0.6628668986 -0.703174679177778 -0.82450083507098 -0.755530320846667 -0.799667154404545 -0.718134192060784 -0.758560750711111 -0.737075257819697 -0.717020685137255 -0.689752633923529 -0.79083315862549 -0.764644214810444 -0.801536479765152 -0.73703367292549 -0.779868704144444 -0.743135207886212 -0.700398908175556 -0.734453753488889 -0.732552239011765 -0.741544333488889 -0.738511472666515 -0.707885221137255 -0.764691201326667 -0.755257443745455
"Laying" 5 -0.804903211018518 -0.655980410027778 -0.818907701104167 -0.794818117648148 -0.813177005759259 -0.666844148472917 -0.6709775741 -0.643937663911111 -0.806911883208333 -0.66344424898125 -0.836512376520833 -0.815469754018519 -0.797704534759259 -0.642172552979167 -0.657682508475926 -0.66255382017963 -0.800775817416667 -0.67947599508125 -0.790690793677778 -0.683408442135185 -0.827375193333333 -0.823245625425926 -0.800115717759259 -0.640913213066667 -0.658046346176667 -0.671834908738889 -0.806805954610417 -0.671273939699167 -0.712224395316667 -0.756523099959259 -0.754799141720833 -0.758776005592593 -0.739035274425926 -0.732233908525 -0.799152310592593 -0.694652629809259 -0.698097713416667 -0.708792817290741 -0.7034220519125 -0.801632510266667 -0.792777816961111 -0.797290168145833 -0.815804583055556 -0.645606963148148 -0.756504247533333 -0.779786459624074 -0.802083553070833 -0.736960530333333 -0.719223736030185 -0.730117634485417 -0.806201242060926 -0.660763092772222 -0.728787220614815 -0.749827142268519 -0.778219637385625 -0.715048665075926 -0.719068432448148 -0.740365065083333 -0.784844887938889 -0.659937225988889 -0.69897476767963 -0.7006998767 -0.702308192883333 -0.773949964796296 -0.763066915838889 -0.7684254489875
"Laying" 6 -0.702186718425397 -0.680220374150794 -0.697637112122222 -0.689772057366667 -0.730234284888889 -0.793265540140741 -0.747329963133333 -0.745685332498148 -0.72963741105 -0.731700858477778 -0.70452404055 -0.679145509293651 -0.689481632598148 -0.825040125740741 -0.791353347761905 -0.764588991616667 -0.731632118040741 -0.721780223668519 -0.7024785265 -0.708139818244444 -0.755867888266667 -0.708433160007937 -0.701490589122222 -0.752925231396296 -0.692729901320635 -0.729773188240741 -0.663020999588889 -0.813008468685185 -0.627668463534921 -0.642585955444444 -0.618181037240741 -0.768387528571429 -0.77221768887037 -0.793854474537037 -0.63482148812381 -0.758514084476191 -0.715497867849206 -0.685988366783333 -0.690375855707407 -0.714419166438095 -0.704624775296296 -0.724394504422222 -0.704058174866667 -0.775963808348148 -0.659152638586667 -0.674811035253704 -0.70401167381463 -0.757070295206349 -0.683101781222222 -0.740152365222222 -0.658165757512698 -0.781194939634921 -0.604118829592064 -0.613062351740741 -0.613549622592593 -0.763641254285714 -0.774889697759259 -0.789286111648148 -0.662934939834259 -0.765749355611111 -0.653016083074603 -0.690686516814815 -0.657157217985185 -0.719136033306349 -0.744098719018519 -0.767591551
"Laying" 7 -0.759586426901961 -0.68080096117451 -0.628094441539683 -0.698213503760784 -0.729477460357143 -0.745875138661905 -0.763357293941176 -0.721008242309524 -0.687484755268254 -0.65902663384127 -0.634170165759841 -0.67354552927451 -0.661792113190476 -0.735820395526984 -0.727489669215686 -0.772341533430952 -0.70461584147619 -0.650397048768254 -0.827512905261905 -0.613765362785714 -0.686326282920635 -0.720616833672549 -0.78711571252381 -0.704879547 -0.726969330509804 -0.629524372238095 -0.655343646426984 -0.732378408047619 -0.711250583407843 -0.672601004335714 -0.63758213742873 -0.854588330176471 -0.893422623761905 -0.839792385992064 -0.678715312745098 -0.826897332666667 -0.642659903764706 -0.662776692704762 -0.711254591444444 -0.798120361431373 -0.828650662069048 -0.762027274888889 -0.71225868515 -0.738268091088095 -0.681539332984314 -0.661610176642857 -0.688669134474603 -0.832727843647059 -0.790864706666667 -0.739144995349206 -0.670255862137255 -0.768615277058823 -0.713449808464706 -0.660513264021429 -0.659051431847619 -0.860278455321569 -0.892855024119048 -0.785931973301587 -0.704973630519048 -0.778881795866667 -0.654882166127451 -0.672449912311905 -0.656655830657143 -0.801836702509804 -0.842800141952381 -0.739632154396825
"Laying" 8 -0.716513086307017 -0.702752077807018 -0.624561128023809 -0.64501778872807 -0.690653790615873 -0.775422340333333 -0.751149869350877 -0.752943117855556 -0.669220646335714 -0.764061201 -0.626736274435714 -0.633790827982456 -0.685017254365079 -0.806213161714286 -0.772835855333333 -0.743987611774603 -0.742126172647619 -0.704895470016667 -0.770223466203175 -0.728704815079365 -0.65371703207619 -0.689725895026316 -0.721908776587302 -0.81135956502381 -0.784768892701754 -0.762232313301587 -0.595265105190476 -0.765863998785714 -0.706377062614035 -0.671706480144444 -0.668873377659524 -0.779461435014035 -0.819963781190476 -0.788106963357143 -0.630180579117544 -0.766411560050877 -0.687736208243158 -0.679722851379365 -0.671737626190476 -0.761897821491228 -0.800590799163492 -0.776722855892857 -0.662841193639683 -0.786545136301587 -0.62479190302807 -0.64327761640381 -0.603558892809524 -0.775573897824561 -0.78279242884127 -0.822002847595238 -0.646573074894737 -0.761384070877193 -0.680892587964912 -0.66661744902619 -0.589580039377857 -0.80038765645614 -0.818647538698413 -0.787177805904762 -0.639768478579365 -0.818052124112698 -0.686460288991228 -0.660348002346984 -0.702497668095238 -0.77460000962807 -0.81600543495873 -0.753086968157143
"Laying" 9 -0.744576633039216 -0.64053892354902 -0.762707136842222 -0.766292482033333 -0.788963234518518 -0.675327789088889 -0.681726954529412 -0.663656506192593 -0.794433568713333 -0.661061542582222 -0.701664011391111 -0.82240601335098 -0.847999062018518 -0.699804603235556 -0.660280999639216 -0.643994931531481 -0.832999193355556 -0.63881379706 -0.773717096159259 -0.702643555585185 -0.790296905388889 -0.78426212627451 -0.765907000240741 -0.6320663846 -0.670266026776471 -0.666455986053704 -0.703534436044444 -0.778436228077778 -0.724478341215686 -0.748153598814815 -0.681880124504444 -0.709251797509804 -0.678178181568519 -0.812358192 -0.768920134706275 -0.637518782894118 -0.671685327043137 -0.696488523722222 -0.633316812964444 -0.789244900398039 -0.758506433112963 -0.8819498424 -0.836851349907407 -0.643325948292593 -0.712473351901961 -0.779777468555556 -0.64128763434 -0.680542408235294 -0.687508769616667 -0.785464412311111 -0.785497283 -0.61691868227451 -0.756578072215686 -0.758558657601852 -0.668232800471111 -0.743024152470588 -0.696793319231481 -0.765980005177778 -0.824537241492593 -0.669562563859259 -0.6995285135 -0.720763662851852 -0.581096976355556 -0.762850415662745 -0.769869130925926 -0.841999740888889
"Laying" 10 -0.865987526716667 -0.734138472028333 -0.853493927548333 -0.85486730517 -0.8068247905 -0.635203263813333 -0.67688790977 -0.641273495212963 -0.837978682619 -0.71558352481 -0.856097177875 -0.858858281066667 -0.837828516425926 -0.670343351995 -0.702139065098333 -0.644940308905556 -0.818971336795 -0.705429620763333 -0.801745516074074 -0.700925821975926 -0.84953274553 -0.842934599 -0.794341516518518 -0.670066615141167 -0.710361874688 -0.666869881381482 -0.833307154366667 -0.675752902345 -0.772402138383333 -0.7761184495 -0.778675375383333 -0.717167374586667 -0.69858592023037 -0.695875493065 -0.7933791809 -0.728000493266667 -0.738099321883333 -0.713277636483333 -0.76295960442 -0.788976895377833 -0.7365618545 -0.752286365583333 -0.821893256962963 -0.656860032424074 -0.783004188116667 -0.787126778425926 -0.813969448366667 -0.721335946553333 -0.693205806337037 -0.719064395356667 -0.832635608356167 -0.688896843266667 -0.790828865966667 -0.763120436555556 -0.792808316883333 -0.71378096158 -0.653769318166667 -0.707029335158333 -0.789342184851852 -0.664693858383333 -0.763941888983333 -0.756467417 -0.7424830668 -0.755438062816667 -0.705945922444444 -0.721246529638333
